timestamp,acc_x,acc_y,acc_z,w_x,w_y,w_z,comp_x,comp_y,comp_z
70.912,-2.7491376184060083,0.03272259030680696,9.806096390679432,0.0,0.0,0.01302848337355391,0.0175839939025403,0.9998453896270342,0.0
70.928,-3.224568186350972,0.03271545396387779,9.809665375866485,0.0,0.0,0.013119768695261819,0.017793891669281678,0.9998416761764144,0.0
70.944,-2.951136485311753,0.03224246126166118,9.814413556736843,0.0,0.0,0.013213110845785128,0.018005259102328943,0.999837892182857,0.0
70.96000000000001,-2.9554827649024262,0.03218067402350054,9.83533620806432,0.0,0.0,0.0133051268775772,0.018218120551322194,0.999834036269809,0.0
70.976,-2.8886281603524306,0.03133662400414327,9.826967738959308,0.0,0.0,0.013399462954990227,0.01843249835975699,0.999830107070305,0.0
70.992,-2.8415897102235554,0.030952114910044022,9.822932070032417,0.0,0.0,0.013497982699231692,0.01864841657100141,0.9998261031596417,0.0
71.008,-2.7801353982940538,0.03048619321140629,9.828694712172076,0.0,0.0,0.013597902473277666,0.01886589950076622,0.9998220230801215,0.0
71.024,-2.732630943148398,0.02994401649146361,9.830379923621145,0.0,0.0,0.013694924447580779,0.019084972336878482,0.9998178653289311,0.0
71.04,-2.68765944757056,0.029700835739024052,9.755185093012892,0.0,0.0,0.013796626060470212,0.01930566094062934,0.9998136283606289,0.0
71.056,-2.6146788958897385,0.029517819890392098,9.766641952168328,0.0,0.0,0.013899436130374105,0.019527991965244143,0.999809310583676,0.0
71.072,-2.554541653711564,0.028964271389667586,9.790413408871474,0.0,0.0,0.014003003937661806,0.01975199285105469,0.9998049103592221,0.0
71.08800000000001,-2.526637888076949,0.028855609675780342,9.848545301425164,0.0,0.0,0.0141073699948812,0.019977691871362894,0.9998004259988557,0.0
71.104,-2.4763784476121424,0.028260926495686133,9.828549467741936,0.0,0.0,0.014215961648454137,0.02020511816056663,0.999795855762624,0.0
71.12,-2.426065900406814,0.028114199414490497,9.837722545105573,0.0,0.0,0.014325856062110107,0.020434301751478867,0.9997911978567973,0.0
71.136,-2.3696384439714815,0.027641337787029655,9.80363943028862,0.0,0.0,0.014439408348405602,0.020665273611596275,0.9997864504315699,0.0
71.152,-2.321090381240972,0.027243813167575667,9.794932746795375,0.0,0.0,0.014553868416179876,0.02089806568238744,0.999781611578616,0.0
71.168,-2.278523542780021,0.026955152498814083,9.76189665002816,0.0,0.0,0.014667553569247883,0.02113271091994979,0.9997766793285258,0.0
71.184,-2.2429713307928196,0.026549395869275922,9.788460841984664,0.0,0.0,0.01478568428553963,0.02136924333842728,0.9997716516480867,0.0
71.2,-2.1963960305378785,0.02604073834836903,9.825354949319351,0.0,0.0,0.014908111063304268,0.021607698055086607,0.9997665264374279,0.0
71.21600000000001,-2.148457007750363,0.025931352305580704,9.830776221745351,0.0,0.0,0.015028991309949835,0.021848111338330756,0.9997613015269935,0.0
71.232,-2.0911692323950284,0.025655625638087844,9.738767703235357,0.0,0.0,0.015154044669880483,0.02209052065797749,0.99975597467435,0.0
71.248,-2.0519532629065327,0.02511966852506278,9.775308873829026,0.0,0.0,0.015280781090290286,0.022334964738408014,0.9997505435608097,0.0
71.264,-2.01163828605227,0.025054620814762365,9.812671781242337,0.0,0.0,0.015413539885176736,0.02258148361467342,0.9997450057878562,0.0
71.28,-1.9720202641883635,0.024796309998206454,9.84901078043153,0.0,0.0,0.015545843088470018,0.022830118691663293,0.9997393588733638,0.0
71.296,-1.9352134304379223,0.024240514931216088,9.875207563708662,0.0,0.0,0.01567926941815007,0.02308091280660833,0.9997336002475928,0.0
71.312,-1.8975282081331435,0.024140864321756123,9.853433865798225,0.0,0.0,0.015813864404087816,0.02333391029526317,0.999727727248941,0.0
71.328,-1.862425212904836,0.023761278570052835,9.861239465553744,0.0,0.0,0.015955899496651965,0.023589157061822807,0.999721737119441,0.0
71.34400000000001,-1.8178242466200036,0.023528201693991998,9.840499647032894,0.0,0.0,0.0161040152730747,0.02384670065280665,0.9997156269999862,0.0
71.36,-1.790021883697011,0.023220073043223613,9.827829035112169,0.0,0.0,0.016245804771048547,0.024106590335655403,0.9997093939252492,0.0
71.376,-1.7457909931151387,0.023080714116670613,9.734490112220717,0.0,0.0,0.016399340657049413,0.02436887718160667,0.9997030348182944,0.0
71.392,-1.709621937197605,0.022849052798567856,9.829835476165927,0.0,0.0,0.016549615548589216,0.024633614153904373,0.9996965464848405,0.0
71.408,-1.6740758191013172,0.02250756534412027,9.834708565537847,0.0,0.0,0.016706385209313793,0.024900856201246803,0.9996899256071579,0.0
71.424,-1.6484823036013443,0.022291983658823615,9.773616831185167,0.0,0.0,0.01686688878029886,0.02517066035716794,0.9996831687375676,0.0
71.44,-1.6064850467028051,0.02206082764282773,9.892724048791376,0.0,0.0,0.017030674487318504,0.025443085845379628,0.9996762722915179,0.0
71.456,-1.5864283247140347,0.021856439310010137,9.79622272666703,0.0,0.0,0.017201153634890505,0.02571819419222199,0.9996692325401894,0.0
71.47200000000001,-1.5475457497634995,0.02148153106658095,9.854402582487694,0.0,0.0,0.01737516787849197,0.025996049345987763,0.9996620456026132,0.0
71.488,-1.5202824200445006,0.02142427170776069,9.803615746883917,0.0,0.0,0.017550349620507583,0.026276717804249134,0.9996547074372412,0.0
71.504,-1.4925478920640447,0.02094643130361092,9.78717670833599,0.0,0.0,0.017726106789075446,0.02656026874952417,0.9996472138329369,0.0
71.52,-1.4611391569559653,0.020929340337862635,9.811657376898555,0.0,0.0,0.017914133647540468,0.026846774194070132,0.9996395603993334,0.0
71.536,-1.426198554980308,0.020861604299266635,9.80407202384585,0.0,0.0,0.018101772538435357,0.02713630913440492,0.9996317425565087,0.0
71.552,-1.3986211504131794,0.02057941829990486,9.820823853216186,0.0,0.0,0.018295527981981235,0.02742895171658156,0.9996237555239118,0.0
71.568,-1.3777507054285634,0.020426813104283653,9.781260791796013,0.0,0.0,0.018498444130160968,0.02772478341300859,0.999615594308483,0.0
71.584,-1.349139133028155,0.020111048135534316,9.797219921500151,0.0,0.0,0.01870386877704729,0.028023889211643817,0.9996072536918955,0.0
71.60000000000001,-1.3155763399758127,0.020041609916339954,9.840155357514313,0.0,0.0,0.018912313475719925,0.028326357818898164,0.9995987282168359,0.0
71.616,-1.2835872614905375,0.019592873691938146,9.813597573702097,0.0,0.0,0.019125902996009907,0.02863228187730771,0.9995900121722398,0.0
71.632,-1.272748347710697,0.019515883184914706,9.76788934195532,0.0,0.0,0.019351885279544186,0.02894175819919843,0.9995810995773877,0.0
71.648,-1.2430156821560499,0.01933566369632796,9.79076178039496,0.0,0.0,0.019580394026586696,0.029254888017994023,0.9995719841647497,0.0
71.664,-1.2130489588615516,0.019210226302152078,9.838568437730158,0.0,0.0,0.01981752047777495,0.029571777258618797,0.9995626593614663,0.0
71.68,-1.1906006091390462,0.019007780024344948,9.830875366178276,0.0,0.0,0.020056838162214694,0.029892536828740716,0.9995531182693306,0.0
71.696,-1.162519936293122,0.018861943855442258,9.780052661614706,0.0,0.0,0.020306916409780974,0.030217282933024583,0.9995433536431252,0.0
71.712,-1.142538673177607,0.0186995522026152,9.847897036867318,0.0,0.0,0.020565173978028425,0.030546137412390678,0.9995333578671516,0.0
71.728,-1.1140172968886717,0.01870739797498665,9.798869537687406,0.0,0.0,0.02082705821353598,0.030879228110711213,0.9995231229297733,0.0
71.744,-1.0984608294194236,0.018459142726388933,9.864034352507646,0.0,0.0,0.021099796341547267,0.031216689271874338,0.9995126403957597,0.0
71.76,-1.0861262597990942,0.018276269054543305,9.822874102716275,0.0,0.0,0.021381978489293192,0.03155866197001635,0.9995019013762116,0.0
71.776,-1.0559065406690304,0.01818454497502322,9.729235550565766,0.0,0.0,0.021676367051926236,0.03190529457649004,0.9994908964958047,0.0
71.792,-1.035701204466845,0.018078150959162924,9.780173174024437,0.0,0.0,0.02197615029472078,0.0322567432672141,0.9994796158570685,0.0
71.808,-1.0174445154288843,0.017932175189624006,9.836076229504428,0.0,0.0,0.022289071722617338,0.03261317257493015,0.9994680490013664,0.0
71.824,-0.9960583873785356,0.01777238499422452,9.803827977117727,0.0,0.0,0.022611341122510762,0.03297475599095338,0.9994561848662187,0.0
71.84,-0.9663981315285567,0.01777151344349665,9.808297429379113,0.0,0.0,0.022947602601963654,0.0333416766219284,0.9994440117385459,0.0
71.856,-0.9423690341034291,0.017578057450029955,9.848569188273125,0.0,0.0,0.023294838707462778,0.033714127907922366,0.9994315172033591,0.0
